name,address,product
BHAGWAN DASS & SON (Pramod Shanker Mehra),"95, Dariba Kalan Chandni Chowk, Delhi-110006, India","['Diamond Jewellery', 'Gold Jewellery']"
DA JEWELS (NIKHIL KAPADIA),"403/2 KHODIYAR TIMBER VASTADEVADI ROAD, KATARGAM, SURAT, Surat-395004, India","['Rough Stone Dealers', 'Gemstone Carving', 'Birth Stones', 'Miscellaneous', 'Loose Colour Gemstone', 'Cut and Polished Diamonds']"
"RANUJEE JEWELLERS PVT. LTD. (Rajesh Kumar Jain/Arpit Jain,Arpit Jain)","E-587, Nakul Path Behind New Vidhan Sabha Lal Kothi, Tonk Road,, Jaipur-, India","['Diamond Jewellery', 'Gold Jewellery', 'Color Stone Jewellery', 'Victorian Jewellery']"
SHIV SHAKTI ARTS (Bimal Zaveri),"7/226,ramnivas,1st Flr , Sion East, Mumbai-400022, India","['Cut and Polished Diamonds', 'Rough Diamond Supplier', 'Diamond Jewellery', 'Gold Jewellery']"
TIARA SILVER PVT. LTD. (Vishal Gandhi),"2/69, Sahyog Building, S.V. Road, Kandivali West, , Mumbai-400067, India","['Silver Jewellery', 'CZ Jewellery', 'Silver studded jewellery']"
2 DIVINE (Dimple Nahar),"198/A-1, Veena Apartment GRD Level, Dongarsee Road Teen Batti, Walkeshwar, Mumbai-400006, India","['Diamond Jewellery', 'Gold Jewellery']"
7 STAR JEWEL (Jatin Narendrabhai Viradiya),"M-2, Anand Deep Flats, Nr. Rampura Petrol Pump, Rampura, , Surat-395003, India",['Gold Jewellery']
925 SILVER (Bharat Lashkari),"Silver Tower, Sharma Building Lane, Near Bank of Baroda, MI Road, Jaipur-302001, India",['Silver Jewellery']
A ANIL DIAJEWELS (Arpan Kumar),"Off. No. 118, 1st Floor, 2661, Panchratna Building Street No. 2 , Gurudwara Road, Karol Bagh, New delhi-110005, India",['Diamond Jewellery']
A B JEWELLERS (Anil Bhutra),"1275, Kho Walon Ka Chowk, Gopalji Ka Rasta Johari Bazar, Jaipur-302003, India","['Diamond Jewellery', 'Kundan Meena Jewellery', 'Color Stone Jewellery']"
A K INTERNATIONAL (Amit Kumar),"Shop No. 8, Noorwala, Barsat Road Near Kripal Ashram, , Panipat-132103, India",['Gold Jewellery']
A R JEWELS PVT. LTD. (M.S. Sendhi Kumar ),"11/5-B, Gf, Shop No.1, Pusa Road,, New delhi-110005, India",['Gold Jewellery']
A' STAR JEWELLERY (Kunal Shah),"PLOT NO. F-11/12/5, ASIAN HOUSE, WICEL, MIDC (MAROL) CENTRAL ROAD, OPP. SEEPZ, ANDHERI (EAST), Mumbai-400093, India","['Diamond Jewellery', 'Gold Jewellery', 'Platinum Jewellery']"
A V INTERNATIONAL (Vibhor),"34, DLF Industrial Area, Moti Nagar, , New delhi-, India",['Imitation Jewellery']
"A,K. JEWELLERS (Anil Verma)","51/8, Jwala Heri Main Market Paschim Vihar, New delhi-110063, India","['Diamond Jewellery', 'Gold Jewellery', 'Silver Jewellery', 'Kundan Meena Jewellery']"
A. ANIL DIAJEWELS (Anil Kumar),"209, Shree Godiji Building Pipla Sheri Mahidharpura, Near Sahajanand , Surat-395003, India","['Cut and Polished Diamonds', 'Diamond Jewellery']"
A. AYUSHI & CO (Anil D. Mehta),"505, Dhanmora Complex, Adajan Patiya, Surat-395009, India","['Diamond Jewellery', 'Gold Jewellery']"
A. B. GOLD PVT. LTD. (ASHOK PORWAL),"2, 1ST FLOOR C. R. TEMPLE STREET, NAGARTHPET CROSS, Bangalore-560002, India","['Diamond Jewellery', 'Gold Jewellery']"
"A. BHARATKUMAR (Dinesh Jain,Anil Jain,Bharat Jain)","43, Moti Mahal, 2nd Floor, Shop No. 9-A, Dhanji Street, Mumbai-400003, India",['Gold Jewellery']
