,name,address,products,precious_metal,gemstone,artificial,misc,loc_data,co-ordinates,X,Y,Alt
0,BHAGWAN DASS & SON (Pramod Shanker Mehra)," Dariba Kalan Chandni Chowk, Delhi , 110006, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'""]",1,1,0,0,"Dariba Kalan, Chandni Chok, Old Delhi, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","(28.6546024, 77.2333794, 0.0)",28.6546024,77.2333794,0.0
1,DA JEWELS (NIKHIL KAPADIA)," SURAT, Surat , 395004, India",[],0,0,0,0,"Surat, Railway Station Road, Mini Bazar, Surat, Gujarat, 395001, India","(21.2052, 72.8408402, 0.0)",21.2052,72.8408402,0.0
2,"RANUJEE JEWELLERS PVT. LTD. (Rajesh Kumar Jain/Arpit Jain,Arpit Jain)"," Jaipur , India","[""'Diamond Jewellery'"", ""'Gold Jewellery'"", ""'Color Stone Jewellery'"", ""'Victorian Jewellery'""]",1,1,0,2,"Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India","(26.9154576, 75.8189817, 0.0)",26.9154576,75.8189817,0.0
3,SHIV SHAKTI ARTS (Bimal Zaveri)," Sion East, Mumbai , 400022, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'""]",1,1,0,0,"Sion East, F/N Ward, Zone 2, Mumbai, Mumbai City, Maharashtra, 400022, India","(19.0428153, 72.8653563, 0.0)",19.0428153,72.8653563,0.0
4,TIARA SILVER PVT. LTD. (Vishal Gandhi)," Mumbai , 400067, India","[""'Silver Jewellery'"", ""'CZ Jewellery'""]",1,0,1,0,"Mumbai Suburban, Maharashtra, India","(19.13095765, 72.88593095460952, 0.0)",19.13095765,72.88593095460952,0.0
5,2 DIVINE (Dimple Nahar)," Walkeshwar, Mumbai , 400006, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'""]",1,1,0,0,"Walkeshwar Road, Malabar Hill, D Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400006, India","(18.9464159, 72.7960599, 0.0)",18.9464159,72.7960599,0.0
6,7 STAR JEWEL (Jatin Narendrabhai Viradiya)," Surat , 395003, India","[""'Gold Jewellery'""]",1,0,0,0,"Surat, Gujarat, 395001, India","(21.1864607, 72.8081281, 0.0)",21.1864607,72.8081281,0.0
7,925 SILVER (Bharat Lashkari)," MI Road, Jaipur , 302001, India","[""'Silver Jewellery'""]",1,0,0,0,"Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India","(26.9154576, 75.8189817, 0.0)",26.9154576,75.8189817,0.0
8,A ANIL DIAJEWELS (Arpan Kumar)," Karol Bagh, New delhi , 110005, India","[""'Diamond Jewellery'""]",0,1,0,0,"Karol Bagh, Karol Bagh Tehsil, Central Delhi, Delhi, 110005, India","(28.6529982, 77.1890227, 0.0)",28.6529982,77.1890227,0.0
9,A B JEWELLERS (Anil Bhutra)," Gopalji Ka Rasta Johari Bazar, Jaipur , 302003, India","[""'Diamond Jewellery'"", ""'Kundan Meena Jewellery'"", ""'Color Stone Jewellery'""]",0,1,0,2,,"(None, None, None)",,,
10,A K INTERNATIONAL (Amit Kumar)," Panipat , 132103, India","[""'Gold Jewellery'""]",1,0,0,0,"Panipat, Haryana, India","(29.38821435, 76.99023405239163, 0.0)",29.38821435,76.99023405239163,0.0
11,A R JEWELS PVT. LTD. (M.S. Sendhi Kumar )," New delhi , 110005, India","[""'Gold Jewellery'""]",1,0,0,0,"New Delhi, Delhi, India","(28.6138954, 77.2090057, 0.0)",28.6138954,77.2090057,0.0
12,A' STAR JEWELLERY (Kunal Shah)," ANDHERI (EAST), Mumbai , 400093, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'"", ""'Platinum Jewellery'""]",2,1,0,0,"Andheri East, K/E Ward, Zone 3, Mumbai, Mumbai Suburban, Maharashtra, 400 099, India","(19.1158835, 72.854202, 0.0)",19.1158835,72.854202,0.0
13,A V INTERNATIONAL (Vibhor)," New delhi , India","[""'Imitation Jewellery'""]",0,0,1,0,"New Delhi, Delhi, India","(28.6138954, 77.2090057, 0.0)",28.6138954,77.2090057,0.0
14,"A,K. JEWELLERS (Anil Verma)"," Jwala Heri Main Market Paschim Vihar, New delhi , 110063, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'"", ""'Silver Jewellery'"", ""'Kundan Meena Jewellery'""]",2,1,0,1,,"(None, None, None)",,,
15,A. ANIL DIAJEWELS (Anil Kumar)," Near Sahajanand , Surat , 395003, India","[""'Diamond Jewellery'""]",0,1,0,0,,"(None, None, None)",,,
16,A. AYUSHI & CO (Anil D. Mehta)," Adajan Patiya, Surat , 395009, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'""]",1,1,0,0,,"(None, None, None)",,,
17,A. B. GOLD PVT. LTD. (ASHOK PORWAL)," NAGARTHPET CROSS, Bangalore , 560002, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'""]",1,1,0,0,,"(None, None, None)",,,
18,"A. BHARATKUMAR (Dinesh Jain,Anil Jain,Bharat Jain)"," Dhanji Street, Mumbai , 400003, India","[""'Gold Jewellery'""]",1,0,0,0,"Smt.Laxmiben Dhanji Devshi Health Centre, Dr Meisheri Road, Dongri, B Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400009, India","(18.9592421, 72.8383537, 0.0)",18.9592421,72.8383537,0.0
19,A. GEERI PAI JEWELLERS (S. Sanathana Pai)," Kochi , 682031, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'"", ""'Emerald Jewellery'"", ""'Ruby Jewellery'"", ""'Color Stone Jewellery'""]",1,3,0,1,"Kochi, Ernakulam district, Kerala, 682005, India","(9.931308, 76.2674136, 0.0)",9.931308,76.2674136,0.0
20,A. K. D. EXPORTS PVT. LTD (Ashok Kumar Dosi)," Delhi , 110006, India","[""'Color Stone Jewellery'""]",0,0,0,1,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","(28.6517178, 77.2219388, 0.0)",28.6517178,77.2219388,0.0
21,A. K. EXPORTS (Moolchand Kiran Kumar)," Chennai , 600017, India","[""'Diamond Jewellery'""]",0,1,0,0,"Chennai, Chennai District, Tamil Nadu, India","(13.0836939, 80.270186, 0.0)",13.0836939,80.270186,0.0
22,A. K. JEWELLERS (Abhisake Kajaria)," Kolkata , 700006, India",[],0,0,0,0,"Kolkata, Howrah, West Bengal, India","(22.5414185, 88.35769124388872, 0.0)",22.5414185,88.35769124388872,0.0
23,"A. K. JEWELLERS (GHANSHYAM SOLANKI,,)"," Mumbai , 400092, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'""]",1,1,0,0,"Mumbai, 96, Lebuh Penang, Little India, Bandaraya George Town, Timur Laut, Pulau Pinang, 10200, Malaysia","(5.4168728, 100.3400144, 0.0)",5.4168728,100.3400144,0.0
24,"A. MAHENDRA JEWELLERS (PANKAJ Jain,Dinesh Parmar)"," Mumbai , 400002, India","[""'Antique Jewellery'"", ""'Kundan Meena Jewellery'"", ""'Temple Jewellery '"", ""'Diamond Polki Jewellery'"", ""'Ethnic Jewellery'""]",0,1,0,4,"Mumbai, 96, Lebuh Penang, Little India, Bandaraya George Town, Timur Laut, Pulau Pinang, 10200, Malaysia","(5.4168728, 100.3400144, 0.0)",5.4168728,100.3400144,0.0
25,A. NATARAJ CHETTIAR SONS JEWELLERS (L. VIJAYRAGHAVEN)," ESWARAN KOVIL STREET, Tiruppur , 641604, India","[""'Gold Jewellery'"", ""'Silver Jewellery'""]",2,0,0,0,"Eswaran Kovil, Udumalai-Kozhumam Rd, Madathukulam, Tiruppur District, Tamil Nadu, 642204, India","(10.4818473, 77.3596478, 0.0)",10.4818473,77.3596478,0.0
26,A. R. C. WORKSHOP (N. Rajarathinam)," Chennai , 600004, India","[""'Gold Jewellery'""]",1,0,0,0,"Chennai, Chennai District, Tamil Nadu, India","(13.0836939, 80.270186, 0.0)",13.0836939,80.270186,0.0
27,A. SALAM JEWELLERS (Gulam Nabi Khanyari),"Shop No. 59 New Oberoi Shopping Centre, Mumbai , 400021, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'""]",1,1,0,0,,"(None, None, None)",,,
28,"A. SHANKARA CHETTY & SONS (A.G. Krishna Murthy,Adarsh K Murthy)"," K.R. Circle, Mysore , 570001, India","[""'Diamond Jewellery'"", ""'Gold Jewellery'"", ""'Silver Jewellery'"", ""'Platinum Jewellery'""]",3,1,0,0,,"(None, None, None)",,,
29,A.A. ARTS (Sudhir Kumar)," New delhi , 110016, India","[""'Gold Jewellery'""]",1,0,0,0,"New Delhi, Delhi, India","(28.6138954, 77.2090057, 0.0)",28.6138954,77.2090057,0.0
30,A.B. GOLD (Bharat Jain)," Lalbaug, Mumbai , 400012, India","[""'Gold Jewellery'""]",1,0,0,0,"Lalbaug, F/S Ward, Zone 2, Mumbai, Mumbai City, Maharashtra, 400012, India","(18.9914237, 72.8364587, 0.0)",18.9914237,72.8364587,0.0
31,"A.B. GOLD (Anil,Bharat,Manesh)"," Mumbai , 400002, India","[""'Gold Jewellery'"", ""'Designer Jewellery'""]",1,0,0,1,"Mumbai, 96, Lebuh Penang, Little India, Bandaraya George Town, Timur Laut, Pulau Pinang, 10200, Malaysia","(5.4168728, 100.3400144, 0.0)",5.4168728,100.3400144,0.0
32,A.B. JEWELS PRIVATE LIMITED (Sanjay Agarwal)," Kolkata , 700006, India","[""'Gold Jewellery'"", ""'Fine Jewellery'""]",1,0,0,1,"Kolkata, Howrah, West Bengal, India","(22.5414185, 88.35769124388872, 0.0)",22.5414185,88.35769124388872,0.0
33,A.B.GOLD (Ashwin Arjanbhai Bhuva)," Surat , 395006, India","[""'Gold Jewellery'""]",1,0,0,0,"Surat, Gujarat, India","(21.19177615, 72.9544157804841, 0.0)",21.19177615,72.9544157804841,0.0
34,A.B.IMPEX (Ashok Kumar Jain)," Chennai , 600079, India","[""'Gold Jewellery'""]",1,0,0,0,"Chennai, Chennai District, Tamil Nadu, India","(13.0836939, 80.270186, 0.0)",13.0836939,80.270186,0.0
35,A.B.S. BIJOUX INTERNATIONAL (Amarbir Singh)," Urban Estate Phase , One, Jalandhar , 144022, India","[""'Diamond Jewellery'""]",0,1,0,0,,"(None, None, None)",,,
36,"A.C. RATANS (Alok Katta,Avdhesh Chandra Katta)"," Jaipur , 302003, India","[""'Gold Jewellery'"", ""'Silver Jewellery'"", ""'Bead Jewellery'""]",2,0,0,1,"Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India","(26.9154576, 75.8189817, 0.0)",26.9154576,75.8189817,0.0
37,A.G. INDIA RETAIL PVT. LTD. (Dinesh Aggarwal)," New delhi , 110034, India","[""'Gold Jewellery'""]",1,0,0,0,"New Delhi, Delhi, India","(28.6138954, 77.2090057, 0.0)",28.6138954,77.2090057,0.0
38,A.J. INTERNATIONAL (Jain Singh Oberoi)," Jmd Kohinoor Mall Greater Kailash , 2, New delhi , 110048, India","[""'Diamond Jewellery'""]",0,1,0,0,,"(None, None, None)",,,
39,"A.K. DIAM (Alpesh Dhameliya,Rajesh Dhameliya)"," Bandra (E), Mumbai , 400051, India","[""'Diamond Jewellery'""]",0,1,0,0,"Bandra East, H/E Ward, Zone 3, Mumbai, Mumbai Suburban, Maharashtra, 40051, India","(19.0616565, 72.8498111, 0.0)",19.0616565,72.8498111,0.0
40,A.K. DIAMONDS PVT. LTD. (Karan Verma)," Main Market Rajouri Garden, New delhi , India","[""'Diamond Jewellery'"", ""'Gold Jewellery'"", ""'Kundan Meena Jewellery'""]",1,1,0,1,"Rajouri Garden, Patel Nagar Tehsil, West Delhi, Delhi, India","(28.6451121, 77.1239332, 0.0)",28.6451121,77.1239332,0.0
41,A.K. GEMS & JEWELS (Afzal Khan)," Ramganj Bazar, Jaipur , 302003, India","[""'Silver Jewellery'"", ""'Emerald Jewellery'"", ""'Antique Jewellery'"", ""'Ruby Jewellery'"", ""'Designer Jewellery'""]",1,2,0,2,,"(None, None, None)",,,
42,A.K. JEWELLERS (Ankit Kirankumar Jain)," Mumbai , 400003, India","[""'Gold Jewellery'""]",1,0,0,0,"Mumbai, 96, Lebuh Penang, Little India, Bandaraya George Town, Timur Laut, Pulau Pinang, 10200, Malaysia","(5.4168728, 100.3400144, 0.0)",5.4168728,100.3400144,0.0
